water_type_final,county,n_tables,n_measurements
Irrigation,Various Counties in Southern California,1,6.0
Irrigation,Various counties in California,1,13.0
Irrigation,Ventura,8,181.0
Irrigation,Ventura County,16,380.0
Irrigation,"Washington County, Utah",4,7.0
Irrigation,Yolo,9,81.0
Irrigation,Yolo County,13,132.0
Irrigation,Yuma County,8,129.0
Irrigation,"Yuma County, AZ",2,49.0
Irrigation,"Yuma County, Arizona",5,95.0
Irrigation,"Yuma County, Arizona (Not in California)",2,28.0
Irrigation,"['Marin County', 'San Mateo County', 'Solano County', 'Yolo County', 'Sacramento County', 'San Joaquin County']",1,4.0
Irrigation,"['Mohave County', 'Clark County']",1,24.0
Irrigation,"['Mohave County, Ariz.', 'Clark County, Nev.']",1,15.0
Irrigation,"['Tehama', 'Butte', 'Glenn', 'Yuba', 'Colusa', 'Sutter', 'Yolo', 'Sacramento', 'Solano']",1,7.0
Irrigation,unknown,2,22.0
Not Water Related,ALAMEDA,1,16.0
Not Water Related,Alameda,1,10.0
Not Water Related,Alameda County,3,63.0
Not Water Related,"Albany County, Wyoming",1,23.0
Not Water Related,Amador County,2,5.0
Not Water Related,Apache County,1,58.0
Not Water Related,"Apache County, Arizona",3,184.0
Not Water Related,Baja California,1,32.0
Not Water Related,"Bear Lake County, Idaho",2,91.0
Not Water Related,"Bear Lake County, Idaho (near California border)",1,46.0
Not Water Related,"Bear Lake, Idaho",1,54.0
Not Water Related,"Benton County, Wash.",2,28.0
Not Water Related,Bernalillo,1,4.0
Not Water Related,Box Elder,1,41.0
Not Water Related,Box Elder County,1,62.0
Not Water Related,"Box Elder County, Utah",3,116.0
Not Water Related,"Box Elder, Utah",1,69.0
Not Water Related,Butte,2,33.0
Not Water Related,Butte County,8,201.0
Not Water Related,COLUSA,1,24.0
Not Water Related,Cache County,2,7.0
Not Water Related,"Cache County, Utah",1,40.0
Not Water Related,Calaveras County,10,336.0
Not Water Related,California,10,351.0
Not Water Related,California (Based on context),1,85.0
Not Water Related,California (General Inference),1,22.0
Not Water Related,California (State Level Inference),2,28.0
Not Water Related,California (based on the context of the State mentioned),1,22.0
Not Water Related,California (general inference),2,18.0
Not Water Related,California (inferred based on data source),1,34.0
Not Water Related,California (inferred based on the data source),1,33.0
Not Water Related,California County,2,53.0
Not Water Related,California County (inference based on State),1,12.0
Not Water Related,"California, unspecified county in Great Basin and Pacific Coast river basins",1,1.0
Not Water Related,"Carbon County, Wyoming or Stillwater County, Montana",1,69.0
Not Water Related,"Catron County, New Mexico",1,85.0
Not Water Related,Central California,3,222.0
Not Water Related,Churchill County,2,15.0
Not Water Related,"Cibola County, New Mexico",1,49.0
Not Water Related,"Cibola County, New Mexico (Note: Not in California)",2,60.0
Not Water Related,Clark County,1,53.0
Not Water Related,"Clark County, Idaho",1,65.0
Not Water Related,"Clark County, Nevada",3,102.0
Not Water Related,Closed-Basin County (California),1,21.0
Not Water Related,"Cochise County, Arizona",1,59.0
Not Water Related,Coconino County,1,72.0
Not Water Related,"Coconino County, Arizona",2,111.0
Not Water Related,Colorado,1,54.0
Not Water Related,"Colyear Springs, Paskenta",1,4.0
Not Water Related,Contra Costa County,3,80.0
Not Water Related,Curry County,2,22.0
Not Water Related,Davis County,1,8.0
Not Water Related,"Davis County, UT",1,47.0
Not Water Related,Del Norte,1,33.0
Not Water Related,Del Norte County,2,7.0
Not Water Related,"Del Norte County, California",1,40.0
Not Water Related,Dorado County,2,21.0
Not Water Related,Douglas County,1,16.0
Not Water Related,"Douglas County, NV",2,102.0
Not Water Related,"Douglas County, Nevada",1,3.0
Not Water Related,"Douglas County, Nevada and Washoe County, Nevada",1,3.0
Not Water Related,"Duchesne County, Utah",2,68.0
Not Water Related,"Eagle County, CO",1,61.0
Not Water Related,El Dorado,2,101.0
Not Water Related,El Dorado County,4,160.0
Not Water Related,"El Dorado County, CA",1,68.0
Not Water Related,Elko County,1,10.0
Not Water Related,"Emery County, Utah",2,87.0
Not Water Related,"Esmeralda County, Nevada and Alpine County, California",1,7.0
Not Water Related,"Esmeralda, Nevada and Alpine, California",1,4.0
Not Water Related,Evanston,1,81.0
Not Water Related,FRESNO,1,13.0
Not Water Related,Fresno,1,68.0
Not Water Related,Fresno County,11,254.0
Not Water Related,Fresno County (based on typical thermographic studies in California),1,21.0
Not Water Related,"Fresno, Tulare",1,9.0
Not Water Related,Gila County,1,68.0
Not Water Related,"Gila County, Arizona",1,57.0
Not Water Related,"Gila County, New Mexico",1,41.0
Not Water Related,Humboldt County,5,134.0
Not Water Related,"Humboldt County, California",1,17.0
Not Water Related,Idaho,1,15.0
Not Water Related,Imperial County,16,513.0
Not Water Related,"Imperial County, California",2,54.0
Not Water Related,Inferred,1,42.0
Not Water Related,Inferred County in California,1,39.0
Not Water Related,Inferred based on TRS data and California region,1,25.0
Not Water Related,Inferred based on location data within California,1,26.0
Not Water Related,"Inferred based on location within California, potentially related to a river basin or watershed in the region.",1,12.0
Not Water Related,Inferred based on statewide average climate data for California,1,33.0
Not Water Related,Inferred based on township data,1,25.0
Not Water Related,Inferred from context within California,1,21.0
Not Water Related,Inyo,2,31.0
Not Water Related,Inyo County,5,205.0
Not Water Related,"Inyo County, California",1,52.0
Not Water Related,"Iron County, Utah",1,68.0
Not Water Related,JOAQUIN,1,23.0
Not Water Related,"Jackson County, Oregon",2,117.0
Not Water Related,Kern,1,8.0
Not Water Related,Kern County,10,236.0
Not Water Related,"Kern County, Calif",1,69.0
Not Water Related,Klamath County,2,64.0
Not Water Related,"Klamath County, California",1,23.0
Not Water Related,"Klamath County, Oregon",2,69.0
Not Water Related,Lake County,1,87.0
Not Water Related,"Lake County, California",1,15.0
Not Water Related,"Lander County, California",1,81.0
Not Water Related,"Lander County, Nevada and Alpine County, California",1,5.0
Not Water Related,Lassen,1,66.0
Not Water Related,Lassen County,1,11.0
Not Water Related,"Lincoln County, Nevada / Inyo County, California",1,1.0
Not Water Related,Los Angeles,4,79.0
Not Water Related,Los Angeles County,13,269.0
Not Water Related,"Los Angeles County, California",1,17.0
Not Water Related,Madera,1,21.0
Not Water Related,Madera County,2,21.0
Not Water Related,"Maricopa County, Arizona",2,101.0
Not Water Related,Marin County,1,53.0
Not Water Related,Mariposa,1,60.0
Not Water Related,Mariposa County,2,85.0
Not Water Related,"Mariposa County, CA",1,18.0
Not Water Related,Mendocino,1,20.0
Not Water Related,Merced County,1,11.0
Not Water Related,Millard County,1,11.0
Not Water Related,Mono,2,38.0
Not Water Related,Mono County,1,36.0
Not Water Related,"Monterey County, California",1,12.0
Not Water Related,Monterey and San Luis Obispo Counties,1,8.0
Not Water Related,Multiple Counties,1,52.0
Not Water Related,Multiple Counties in Northern California,1,19.0
Not Water Related,Multiple counties across the Pacific Slope in California,1,32.0
Not Water Related,NAPA,1,26.0
Not Water Related,Napa,1,30.0
Not Water Related,Navajo County,1,71.0
Not Water Related,Nevada,1,9.0
Not Water Related,Nevada (near California border),1,30.0
Not Water Related,Nevada County,1,39.0
Not Water Related,"Nevada County, California",1,22.0
Not Water Related,Nevada/California Border Area,2,8.0
Not Water Related,"Northern Central Valley Basins, The Great Basin, from Honey Lake Basin to Oregon State Line, California",1,3.0
Not Water Related,Not Applicable,1,62.0
Not Water Related,Not Available,1,51.0
Not Water Related,Not Determinable from Data,1,29.0
Not Water Related,Not Specified,1,16.0
Not Water Related,Not specified,2,70.0
Not Water Related,"Nye County, Nevada",1,0.0
Not Water Related,"Nye, Nevada and Alpine, California",1,11.0
Not Water Related,Orange,1,65.0
Not Water Related,"Orange County, California",1,29.0
Not Water Related,"Pima County, Arizona",1,40.0
Not Water Related,"Piute County, Utah",1,87.0
Not Water Related,Placer County,2,80.0
Not Water Related,Placer or El Dorado,1,23.0
Not Water Related,Plumas County,2,115.0
Not Water Related,"Plumas County, California",1,26.0
Not Water Related,"Rich County, Utah",1,35.0
Not Water Related,Riverside County,2,64.0
Not Water Related,Riverside and Orange Counties,1,18.0
Not Water Related,"Routt County, Colorado",1,30.0
Not Water Related,Sacramento County,3,68.0
Not Water Related,San Bernardino,2,17.0
Not Water Related,San Bernardino County,4,58.0
Not Water Related,San Diego,1,7.0
Not Water Related,San Diego County,7,184.0
Not Water Related,San Francisco County,1,19.0
Not Water Related,San Mateo County,1,10.0
Not Water Related,Santa Barbara County,5,168.0
Not Water Related,Santa Clara County,3,42.0
Not Water Related,Shasta County,2,103.0
Not Water Related,Siskiyou County,4,102.0
Not Water Related,"Snohomish County, Washington",1,4.0
Not Water Related,Solano,1,13.0
Not Water Related,Solano County,6,107.0
Not Water Related,"Sweetwater County, Wyoming",1,48.0
Not Water Related,Tehama,2,40.0
Not Water Related,Tehama County,2,57.0
Not Water Related,Tooele County,1,41.0
Not Water Related,Trinity County,1,50.0
Not Water Related,Tulare County,4,66.0
Not Water Related,"Tuolumne County, California",1,14.0
Not Water Related,Unknown,20,550.0
Not Water Related,Unknown California County,1,22.0
Not Water Related,Unknown County in California,2,54.0
Not Water Related,"Unknown County, California",1,6.0
Not Water Related,Utah County,1,18.0
Not Water Related,Various Counties in California,2,6.0
Not Water Related,Ventura County,1,7.0
Not Water Related,"Washington County, Utah",1,46.0
Not Water Related,YOLO,1,18.0
Not Water Related,Yolo County,1,50.0
Not Water Related,"['FRESNO', 'IMPERIAL', 'KERN', 'KINGS', 'LOS ANGELES']",1,23.0
Not Water Related,unknown,2,15.0
Other,Alameda,3,38.0
Other,Alameda County,3,40.0
Other,Arizona,2,32.0
Other,"Boulder County, Colorado",1,7.0
Other,Butte County,6,160.0
Other,Butte County and Plumas County,1,49.0
Other,Calaveras County,5,79.0
Other,California,2,94.0
Other,California County,1,30.0
Other,California County based on 15N/10W -4L coordinate range,1,5.0
Other,California General,2,25.0
Other,Colusa,1,18.0
Other,Contra Costa County,1,18.0
Other,Dorado County,3,103.0
Other,El Dorado County,10,180.0
Other,Fresno County,3,86.0
Other,Imperial County,6,236.0
Other,Inyo County,13,110.0
Other,"Jackson County, Oregon",2,45.0
Other,Kern County,1,36.0
Other,Kings County,3,86.0
Other,Klamath,2,45.0
Other,Klamath County,13,333.0
Other,"Klamath County, Oregon",6,138.0
Other,"Lackawanna County, Pennsylvania",3,52.0
Other,Lake,2,61.0
Other,Lake County,13,388.0
Other,"Lake County, California",2,66.0
Other,"Lake County, Oregon (inferred as California context)",1,17.0
Other,Located in the State of California based on the document context.,1,16.0
Other,Los Angeles,1,12.0
Other,Los Angeles County,6,192.0
Other,"Los Angeles County, California",1,1.0
Other,Madera County,3,78.0
Other,Marin County,8,109.0
Other,"Marin County, California",2,18.0
Other,Mendocino,2,43.0
Other,Mendocino County,1,71.0
Other,Merced County,1,18.0
Other,"Mono County, California",1,33.0
Other,Multiple counties within the San Francisco Bay area,1,11.0
Other,Nevada County,1,32.0
Other,"Nevada County, California",1,24.0
Other,Not Provided,1,53.0
Other,Not Specified,1,34.0
Other,Not specified,2,28.0
Other,"Nye County, Nevada",1,5.0
Other,Orange County,3,75.0
Other,"Oregan County, California (inferred based on document content)",1,23.0
Other,Placer,2,42.0
Other,Placer County,11,337.0
Other,Plumas County,6,155.0
Other,"Possible San Diego County, based on general location near the California coastline.",1,17.0
Other,Riverside County,4,123.0
Other,"Sacramento County, California",1,60.0
Other,San Bernardino County,4,127.0
Other,San Diego County,2,86.0
Other,"San Diego County, Los Angeles County, Ventura County, San Bernardino County, Imperial County",1,63.0
Other,San Francisco Bay Area (assumed based on UTM coordinates),1,15.0
Other,San Francisco Bay region counties,1,7.0
Other,"San Francisco County, Alameda County, Marin County, Contra Costa County",1,37.0
Other,San Joaquin,2,81.0
Other,San Joaquin County,6,226.0
Other,San Mateo,1,49.0
Other,San Mateo County,6,76.0
Other,Santa Barbara County,1,23.0
Other,Santa Clara County,1,30.0
Other,Santa Cruz,1,15.0
Other,Shasta County,2,81.0
Other,"Sierra County, California",2,26.0
Other,Siskiyou County,4,114.0
Other,Solano County,1,19.0
Other,Sonoma County,6,160.0
Other,St. Louis,1,9.0
Other,Stanislaus County,9,257.0
Other,Tehama,1,3.0
Other,Tulare County,4,147.0
Other,Tuolumne County,1,36.0
Other,Unknown,3,98.0
Other,Unknown County in California,1,7.0
Other,Unknown in California,1,27.0
Other,Various counties in California,2,33.0
Other,"Various counties within the San Francisco Bay area, including Alameda and Contra Costa counties",1,9.0
Other,"['Alameda', 'Contra Costa']",2,19.0
Other,"['Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Placer County, California', 'Nevada County, California', 'Amador County, California', 'Nevada County, California', 'Kern County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Placer County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Placer County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Placer County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Nevada County, California', 'Amador County, California', 'Nevada County, California']",1,3.0
Other,['None'],1,10.0
Precipitation,"Adams County, Jefferson County",1,6.0
Precipitation,Alameda County,7,165.0
Precipitation,"Alameda County, Contra Costa County, Marin County, Napa County, San Francisco County, Santa Clara County, Solano County, Sonoma County",1,56.0
Precipitation,Alpine County,4,63.0
Precipitation,"Alpine County, CA",1,26.0
Precipitation,"Alpine County, California",1,28.0
Precipitation,Amador County,2,73.0
Precipitation,"Bakersfield, California",1,65.0
Precipitation,Butte County,2,48.0
Precipitation,Cache County,3,27.0
Precipitation,Calaveras,2,26.0
Precipitation,Calaveras County,1,31.0
Precipitation,"Calaveras County, Amador County",1,13.0
Precipitation,California,2,74.0
Precipitation,California (Calif.),1,29.0
Precipitation,California (General Inference),1,14.0
Precipitation,California (general inference based on document origin),2,31.0
Precipitation,California (inferred from State of California),1,28.0
Precipitation,California Coastal Region,1,43.0
Precipitation,California General (state-wide),1,1.0
Precipitation,California General Area,1,31.0
Precipitation,California Statewide,1,28.0
Precipitation,Carson City,2,18.0
Precipitation,Central Coast,2,17.0
Precipitation,"Chugach Census Area, Alaska",1,9.0
Precipitation,Clark County,2,15.0
Precipitation,Clark County (Nevada),1,2.0
Precipitation,Coconino County,5,42.0
Precipitation,Colusa County,5,27.0
Precipitation,Contra Costa County,1,4.0
Precipitation,Del Norte,1,29.0
Precipitation,Del Norte County,9,192.0
Precipitation,"Denver County, Colorado",1,11.0
Precipitation,"Denver, Colorado",1,5.0
Precipitation,El Dorado County,1,15.0
Precipitation,Eldorado County,2,42.0
Precipitation,Eureka County,1,13.0
Precipitation,Finland,1,4.0
Precipitation,Fresno,1,16.0
Precipitation,Fresno County,16,445.0
Precipitation,"Fresno, Tulare",1,21.0
Precipitation,Glenn County,2,27.0
Precipitation,"Great Basin Region, California",2,10.0
Precipitation,"Honolulu County, Oahu Island",1,5.0
Precipitation,Humboldt County,9,203.0
Precipitation,Imperial County,8,168.0
Precipitation,"Imperial County, California",2,32.0
Precipitation,"Imperial County, Riverside County (near Salton Sea)",1,9.0
Precipitation,"Inferred based on context, likely in California given the task instructions.",1,17.0
Precipitation,Inferred from proximity to known sites in California,1,4.0
Precipitation,Inyo County,18,371.0
Precipitation,Kern County,7,103.0
Precipitation,Kings County,1,13.0
Precipitation,Klamath County,1,30.0
Precipitation,Lake County,9,133.0
Precipitation,Likely Multiple Counties in California (due to no specific location data),1,70.0
Precipitation,"Location in southwestern Michigan region, as per similar geohydrologic conditions described",1,15.0
Precipitation,Los Angeles,2,45.0
Precipitation,Los Angeles County,26,716.0
Precipitation,"Los Angeles County, California",1,15.0
Precipitation,Madera County,3,54.0
Precipitation,"Mendocino County, California",1,9.0
Precipitation,Merced County,3,66.0
Precipitation,Modoc County,4,30.0
Precipitation,Mono County,1,11.0
Precipitation,"Mono County, California",2,21.0
Precipitation,"Montrose County, Colorado",1,4.0
Precipitation,Multiple Counties in California,1,67.0
Precipitation,Napa County,5,109.0
Precipitation,Nevada,3,25.0
Precipitation,Nevada County (Sierra Nevada Range),1,8.0
Precipitation,"Nevada County, California",1,16.0
Precipitation,"Nevada and California (mostly in Placer County, California)",1,36.0
Precipitation,Northern European network region,1,19.0
Precipitation,Not Available,1,28.0
Precipitation,Not Specified,2,71.0
Precipitation,Not specified,1,63.0
Precipitation,Orange County,1,26.0
Precipitation,"Palm Springs, Riverside County",1,7.0
Precipitation,Placer County,4,41.0
Precipitation,"Placer County, California",1,64.0
Precipitation,Riverside,6,196.0
Precipitation,Riverside County,15,367.0
Precipitation,Sacramento County,5,74.0
Precipitation,Salinas County,1,19.0
Precipitation,"Salinas Valley and adjacent coast region, California",1,18.0
Precipitation,San Benito County,2,71.0
Precipitation,San Bernardino County,15,300.0
Precipitation,"San Bernardino County, California",1,16.0
Precipitation,San Diego,5,117.0
Precipitation,San Diego County,50,709.0
Precipitation,San Joaquin County,3,92.0
Precipitation,San Luis Obispo County,1,16.0
Precipitation,San Mateo,1,34.0
Precipitation,San Mateo County,2,33.0
Precipitation,Santa Barbara,6,122.0
Precipitation,Santa Barbara County,28,384.0
Precipitation,"Santa Barbara County, Calif.",1,13.0
Precipitation,"Santa Barbara County, California",1,12.0
Precipitation,Santa Clara,1,44.0
Precipitation,Santa Clara County,5,142.0
Precipitation,Shasta County,1,54.0
Precipitation,"Sierra Nevada Region, California",1,19.0
Precipitation,Sierra Nevada region,1,27.0
Precipitation,Siskiyou,2,14.0
Precipitation,Siskiyou County,7,115.0
Precipitation,Solano County,7,150.0
Precipitation,"Solano County, Yolo County (Davis Station)",1,59.0
Precipitation,Sonoma,1,18.0
Precipitation,Sonoma County,7,152.0
Precipitation,"South Coastal Basin, California",1,4.0
Precipitation,Southern California,1,3.0
Precipitation,Stanza County,1,53.0
Precipitation,"Tehama, Glenn",1,19.0
Precipitation,"Trinity County, California",1,24.0
Precipitation,Tuolumne County,5,67.0
Precipitation,Unknown,7,206.0
Precipitation,Valdez-Cordova Census Area,1,6.0
Precipitation,"Valdez-Cordova Census Area, Alaska",1,23.0
Precipitation,"Various counties in California including parts of Placer, El Dorado, Nevada, Yolo, Sacramento, Sutter, Yuba, and others within the basin.",1,8.0
Precipitation,Various counties within the San Francisco Bay Area,1,17.0
Precipitation,Ventura County,2,78.0
Precipitation,Yolo County,4,90.0
Precipitation,Yuba County,1,14.0
Precipitation,"['Alameda', 'Contra Costa', 'Marin', 'Napa']",1,54.0
Precipitation,['Santa Barbara County'],1,15.0
Reservoir,"Ada County, Idaho",1,8.0
Reservoir,Alameda,13,338.0
Reservoir,Alameda County,32,935.0
Reservoir,"Alameda County, California",2,95.0
Reservoir,"Alameda County, Stanislaus County, Tuolumne County",1,49.0
Reservoir,"Alameda, Contra Costa",1,17.0
Reservoir,"Alameda, Santa Clara",1,19.0
Reservoir,Alpine,4,84.0
Reservoir,Alpine County,33,764.0
Reservoir,"Alpine County, California",3,35.0
Reservoir,Amador County,22,678.0
Reservoir,Apache County,5,73.0
Reservoir,"Apache County, Arizona",3,185.0
Reservoir,Baja California,3,23.0
Reservoir,"Blaine County, Idaho",2,22.0
Reservoir,Box Elder County,1,56.0
Reservoir,"Box Elder County, Gunnison County",1,18.0
Reservoir,"Box Elder County, Utah",1,19.0
Reservoir,"Box Elder, Weber, Tooele (Utah)",3,53.0
Reservoir,"Burmester, Antelope County",2,25.0
Reservoir,Butte County,79,2132.0
Reservoir,"Butte County, Calif.",1,19.0
Reservoir,"Butte, California",2,27.0
Reservoir,CALAVERAS,3,109.0
Reservoir,CALAVERAS COUNTY,1,43.0
Reservoir,CALIFORNIA,2,76.0
Reservoir,Calaveras,23,521.0
Reservoir,Calaveras County,214,5045.0
Reservoir,California (exact county inferred from location),1,6.0
Reservoir,California (specific county not provided),2,20.0
Reservoir,"California, various counties",2,117.0
Reservoir,California/Oregon Border Region,1,8.0
Reservoir,"Cibola County, New Mexico",1,35.0
Reservoir,Clark County,5,148.0
Reservoir,"Clark County, NV",2,61.0
Reservoir,"Clark County, NV; Mohave County, AZ",1,49.0
Reservoir,"Clark County, Nevada",8,262.0
Reservoir,"Clark County, Nevada (Nearby to California)",1,49.0
Reservoir,"Clark County, Nevada and Mohave County, Arizona",3,148.0
Reservoir,"Clark County, Nevada; Mohave County, Arizona",1,22.0
Reservoir,"Clark, NV (nearby) / Mohave, AZ (nearby)",1,58.0
Reservoir,"Clark, Nevada and Mohave, Arizona",1,20.0
Reservoir,"Clark, Nevada; Mohave, Arizona",1,22.0
Reservoir,Coconino County,1,36.0
Reservoir,"Coconino County, Arizona",8,113.0
Reservoir,Colusa County,13,247.0
Reservoir,Contra Costa County,3,24.0
Reservoir,"Contra Costa, Alameda, Santa Clara, and San Francisco Counties",1,17.0
Reservoir,"Custer County, Idaho",1,14.0
Reservoir,DORADO COUNTY,4,80.0
Reservoir,Del Norte County,3,122.0
Reservoir,"Del Norte County, California",4,118.0
Reservoir,Dorado County,41,850.0
Reservoir,Douglas County,16,351.0
Reservoir,"Douglas County, Nevada",6,120.0
Reservoir,"Duchesne County, Utah",3,27.0
Reservoir,"Duchesne County, Utah and Sweetwater County, Wyoming",1,8.0
Reservoir,El Dorado,1,58.0
Reservoir,El Dorado County,86,2094.0
Reservoir,"El Dorado County, Placer County",3,52.0
Reservoir,"El Dorado County, Placer County, Washoe County",1,1.0
Reservoir,"El Dorado County, Placer County, and Douglas County (primarily El Dorado)",1,59.0
Reservoir,Eldorado,2,41.0
Reservoir,Eldorado County,10,221.0
Reservoir,"Elko County, NV (Nearby to Truckee-Carson region in Nevada)",1,4.0
Reservoir,"Elko County, Nevada",2,15.0
Reservoir,"Elko County, Nevada (dam located near Elko County boundary with California)",2,35.0
Reservoir,Fresno,20,589.0
Reservoir,Fresno County,168,4321.0
Reservoir,"Gila County, Arizona",7,129.0
Reservoir,Glenn County,2,46.0
Reservoir,"Glenn County, California",1,8.0
Reservoir,"Grand County, Colorado",1,7.0
Reservoir,Hamilton,1,9.0
Reservoir,Humboldt,3,86.0
Reservoir,Humboldt County,16,433.0
Reservoir,Idaho,2,93.0
Reservoir,"Idaho County, Central Idaho (Note: Document mentions Idaho but inferred to be relevant to the State of California context)",2,30.0
Reservoir,"Idaho County, Idaho",1,8.0
Reservoir,Imperial,1,4.0
Reservoir,Imperial County,42,613.0
Reservoir,"Imperial County, CA",1,9.0
Reservoir,"Imperial County, California",2,34.0
Reservoir,Imperial Valley Area,1,20.0
Reservoir,"Inferred as Mohave County, AZ and Inyo County, CA",1,34.0
Reservoir,Inferred from Data,1,49.0
Reservoir,Inyo,3,42.0
Reservoir,Inyo County,17,443.0
Reservoir,"Inyo County, California",1,12.0
Reservoir,"Inyo, California and Mohave County, Arizona",1,24.0
Reservoir,Jackson,2,110.0
Reservoir,Jackson County,7,45.0
Reservoir,"Jackson County, Oregon",32,417.0
Reservoir,Kern County,44,1125.0
Reservoir,Kings,2,62.0
Reservoir,Kings County,20,566.0
Reservoir,Klamath,11,267.0
Reservoir,Klamath County,40,974.0
Reservoir,"Klamath County, Oregon",35,709.0
Reservoir,"La Paz County, Arizona",1,31.0
Reservoir,"La Paz County, Arizona and Clark County, Nevada",1,17.0
Reservoir,"La Paz County, California (partially)",1,31.0
Reservoir,Lake,1,14.0
Reservoir,Lake County,57,1395.0
Reservoir,"Lake County, California",5,40.0
Reservoir,"Lake County, California (based on proximity and common confusion)",1,4.0
Reservoir,"Lake County, California (inferred from nearest county in California context)",1,5.0
Reservoir,"Lake County, Oregon",9,112.0
Reservoir,"Lakeview, Creg.",2,14.0
Reservoir,"Lakeview, Oreg.",1,7.0
Reservoir,Lander County,1,5.0
Reservoir,Lassen County,3,74.0
Reservoir,"Likely California, specific county inferred based on location data",1,19.0
Reservoir,"Lincoln County, NV / Clark County, NV",1,4.0
Reservoir,Los Angeles,1,15.0
Reservoir,Los Angeles County,21,654.0
Reservoir,"Los Angeles County, California",2,42.0
Reservoir,Lyon County,1,33.0
Reservoir,"Lyon County, Nevada",3,25.0
Reservoir,Madera,7,174.0
Reservoir,Madera County,149,3457.0
Reservoir,Maricopa County,10,303.0
Reservoir,"Maricopa County, Arizona",14,340.0
Reservoir,"Maricopa County, Arizona (inferred)",1,33.0
Reservoir,"Maricopa County, Arizona and Clark County, Nevada",1,41.0
Reservoir,"Maricopa, Arizona",2,71.0
Reservoir,Marin County,1,16.0
Reservoir,Mariposa,17,368.0
Reservoir,Mariposa County,54,1320.0
Reservoir,Mendocino,19,489.0
Reservoir,Mendocino County,73,2219.0
Reservoir,"Mendocino County, California",2,45.0
Reservoir,Merced,2,46.0
Reservoir,Merced County,60,1453.0
Reservoir,"Millard County, Utah",3,47.0
Reservoir,Modoc,2,72.0
Reservoir,Modoc County,24,385.0
Reservoir,Mohave County,2,71.0
Reservoir,"Mohave County, AZ / Clark County, NV",1,46.0
Reservoir,"Mohave County, Arizona",2,81.0
Reservoir,"Mohave County, Arizona (Note: Inference needed as document does not specify California county)",1,35.0
Reservoir,"Mohave County, Arizona (near California border)",1,36.0
Reservoir,Mono County,63,1124.0
Reservoir,Montecito County,4,50.0
Reservoir,Monterey,18,438.0
Reservoir,Monterey County,28,575.0
Reservoir,Napa,1,18.0
Reservoir,Napa County,22,577.0
Reservoir,Navajo County,2,39.0
Reservoir,Nevada County,92,2032.0
Reservoir,"Nevada County (part), Mohave County (part)",1,60.0
Reservoir,"Nevada County, California",8,74.0
Reservoir,Not Applicable (Oregon),1,32.0
Reservoir,Not Provided,2,75.0
Reservoir,"Nye County, Nevada",1,56.0
Reservoir,"Nye County, Nevada; Alpine County, California",1,2.0
Reservoir,Orange County,26,596.0
Reservoir,"Ouray County, Utah",2,16.0
Reservoir,"Parker Dam area, Mohave County, Arizona/California border",2,66.0
Reservoir,Pershing County,2,43.0
Reservoir,Pima County,2,72.0
Reservoir,"Pima County, Arizona",3,86.0
Reservoir,Pinal County,2,71.0
Reservoir,"Pinal County, Arizona",1,55.0
Reservoir,"Pinal County, Arizona / Yavapai County, Arizona",1,35.0
Reservoir,Placer,14,411.0
Reservoir,Placer County,120,2991.0
Reservoir,"Placer County, California",3,24.0
Reservoir,Placer and El Dorado (California) - Lake Tahoe spans these counties,1,12.0
Reservoir,Placer and El Dorado Counties,1,1.0
Reservoir,Plumas,13,254.0
Reservoir,Plumas County,263,6275.0
Reservoir,"Plumas County, California",1,6.0
Reservoir,"Presumably in a county with similar topography to those in Northern California, such as Trinity or Shasta County.",2,18.0
Reservoir,Riverside,3,49.0
Reservoir,Riverside County,71,1274.0
Reservoir,Sacramento,3,90.0
Reservoir,Sacramento County,22,493.0
Reservoir,"Sacramento County, California",1,4.0
Reservoir,"Salinas County, California",1,14.0
Reservoir,"Salinas Valley, California",1,4.0
Reservoir,Salt Lake County,2,60.0
Reservoir,San Benito County,1,7.0
Reservoir,San Bernardino,2,43.0
Reservoir,San Bernardino County,66,1231.0
Reservoir,"San Bernardino County, California",4,104.0
Reservoir,San Diego,7,109.0
Reservoir,San Diego County,124,2422.0
Reservoir,"San Diego County, California",4,21.0
Reservoir,San Francisco County,1,8.0
Reservoir,"San Francisco County, Alameda County, Contra Costa County, Marin County, Napa County, Santa Clara County, Solano County, Sonoma County",1,5.0
Reservoir,San Joaquin,2,43.0
Reservoir,San Joaquin County,22,551.0
Reservoir,"San Juan County, Utah",2,42.0
Reservoir,San Luis Obispo,17,306.0
Reservoir,San Luis Obispo County,24,642.0
Reservoir,Santa Barbara,5,50.0
Reservoir,Santa Barbara County,83,1417.0
Reservoir,Santa Clara,1,5.0
Reservoir,Santa Clara County,116,1548.0
