ID,PAGE_NUMBER,Inferred_Latitude,Inferred_Longitude,Actual_Latitude,Actual_Longitude,Location,Townships_Ranges_Sections,Watersource_Name,Actual_County,Inferred_County,Dates_of_Recording,Temporal_Resolution,Units_Of_Measurement,Water_Type,KeyTerms,Watersources,Actual_Latitude_Scotia,Actual_Longitude_Scotia,Inferred_Latitude_Scotia,Inferred_Longitude_Scotia,Dates_Of_Recording
1627,360,,,37.7316667,-119.5577778,"near Yosemite, Calif.","['[TRS, TRS, ...]']",Merced River at Happy Isles Bridge,Mariposa County,Mariposa County,08/1915-09/1965,daily,"{'Discharge': 'cubic feet per second (cfs)', 'Gage height': 'feet'}",Stream Discharge,"['Merced River', 'Happy Isles Bridge', 'National Park Headquarters', 'Yosemite']",,,,,,
3067,457,,,39.239444,-121.266667,"1 mile upstream from Deer Creek and 2.5 miles northeast of Smartville, SW+SE sec. 14, T. 16 N., R. 6 E.","['T. 16 N., R. 6 E., SW+SE sec. 14']",Yuba River at Englebright Dam,Plumas County,,10/01/1955-09/30/1956,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Total Discharge': 'acre-feet'}",Stream Discharge,"['Englebright Dam', 'stream discharge', 'Yuba River', 'flow measurements', 'cfs (cubic feet per second)', 'acre-ft']",,,,,,
70038669,121,,,33.0,-117.1255,"NEASENW1 sec. 18, T.13 S., R.2 W.","['T.13 S., R.2 W., sec. 18']",San Dieguito River at Lake Hodges,San Diego County,,01/01/1916-09/30/1963,Daily,"{'Gage_Height': 'feet', 'Storage': 'acre-feet', 'Draft': 'acre-feet', 'Evaporation': 'acre-feet', 'Spill_and_Likage': 'acre-feet', 'Total_Inflow': 'acre-feet', 'Colorado_River_Water_Included': 'acre-feet', 'Net_Inflow': 'acre-feet'}",Reservoir,"['Lake Hodges', 'reservoir', 'net inflow', 'Colorado River', 'evaporation', 'spill', 'leakage']",,,,,,
633,415,,,38.523611,-121.786111,"Water-stage recorder in SE sec. 19, T. 8 N., R. 2 E., Los Putos Grant, 3.3 miles southwest of Davis","['T. 8 N., R. 2 E., SE sec. 19']",Putah Creek near Davis,Yolo County,,05/01/1948-09/30/1950,Daily measurements from October 1949 to September 1950 with some gaps for earlier data,"second-feet, feet (for gage height)",Stream Discharge,"['stream discharge', 'water-stage recorder', 'gage height']",,,,,,
70038403,246,,,39.0,-121.4055556,"near gaging station at bridge on U.S. Highway 99E, 1 mile southeast of Wheatland",[],BEAR RIVER NEAR WHEATLAND,Yuba County,,07/14/1966-09/25/1967,"Monthly (based on the dates from July 14, 1966 to September 25, 1967)","{'Mean Discharge': 'cfs', 'Silica (SiO2)': 'ppm', 'Iron (Fe)': 'ppm', 'Calcium (Ca)': 'ppm', 'Magnesium (Mg)': 'ppm', 'Sodium (Na)': 'ppm', 'Potassium (K)': 'ppm', 'Bicarbonate (HCO3)': 'ppm', 'Carbonate (CO3)': 'ppm', 'Sulfate (SO4)': 'ppm', 'Chloride (Cl)': 'ppm', 'Fluoride (F)': 'ppm', 'Nitrate (NO2)': 'ppm', 'Boron (B)': 'ppm', 'Dissolved Solids': ['ppm', 'tons per acre-foot', 'tons per day'], 'Hardness as CaCO3': ['Calcium, Magnesium', 'Non-carbonate'], 'Sodium Adsorption Ratio': None, 'Specific Conductance': 'micro-mhos at 25°C', 'pH': None}",Stream Discharge,"['stream', 'gaging station', 'discharge (cfs)', 'chemical analyses']",,,,,,
70038668,243,,,34.601389,-119.5,"near Lompoc, Calif.",[],Canada Honda Creek,Santa Barbara County,,06/1959-09/1962,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Gage_Height': 'feet'}",Stream Discharge,"['stream discharge', 'water-stage recorder', 'gage height', 'cubic feet per second']",,,,,,
4538,100,,,34.023611,-118.034722,"near Whittier, Calif on Workman-Mill road bridge, in Paso de Bartolo grant",[],San Jose Creek,Los Angeles,,01/01/1929-09/30/1941,Daily,second-feet,Stream Discharge,"['water-stage recorder', 'discharge', 'stream discharge']",,,,,,
1640,470,,,39.706389,-123.324167,"Lat 39°42'23"" long 123°19'27"", in section 5, Township 21 N., Range 13 W., on the right bank 0. mile upstream from Eastman Creek, 1.7 miles southeast of Dos Rios, and 1.9 miles upstream from mouth.","['T.21 N., R.13 W., sec. 5']",Middle Fork Eel River near Dos Rios,Mendocino County,,10/01/1965-09/30/1970,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Gage_Height': 'feet', 'Drainage_Area': 'square miles (sq mi)', 'Average_Discharge': {'Value': 1854, 'Unit': 'cfs'}, 'Annual_Discharge': {'Value': 1343000, 'Unit': 'acre-ft per year'}}",Stream Discharge,"['stream discharge', 'cfs', 'gage height', 'drainage area']",,,,,,
70038402,288,,,38.624722,-120.700556,"on left bank 1,000 ft downstream from county road bridge, 0.2 mile downstream from Perry Creek, and 1.8 miles southwest of Somerset","['[NW1NW1 sec. 19, T.9 N., R.12 E.]']",MIDDLE FORK COSUMNES RIVER NEAR SOMERSET,Calaveras County,Calaveras County,10/01/1966-09/30/1967,Daily,cubic feet per second (cfs),Stream Discharge,"['discharge', 'stream', 'river']",,,,,,
56419,114,,,37.3676,-118.3831,"Near Bishop, California",[],BISHOP CREEK BELOW POWERPLANT NO. 6,Inyo County,,10/01/1970-09/30/1971,Daily,Cubic Feet per Second (cfs),Stream Discharge,"['Natural Flow Discharge', 'Cubic Feet per Second', 'Water Year']",,,,,,
56850,298,,,33.398333,-117.262222,"Near Fallbrook, CA, on right bank 180 ft (55 m) upstream from De Luz Road, 1.3 mi (2.1 km) northwest of Fallbrook","['T9S, R4W, NE4SE&NE4 sec. 14']",SANTA MARGARITA RIVER,San Diego County,San Diego County,10/01/1977-09/30/1978,Daily,"{'Discharge': 'cubic feet per second (ft3/s) and cubic meters per second (m3/s)', 'Cumulative': 'acre-feet/yr (ac-ft/yr) and hectometers cubed per year (hm3/yr)'}",Stream Discharge,"['water-discharge records', 'monthly discharge', 'average discharge', 'extreme flow']",,,,,,
56418,276,37.321,-121.978,,,"Near Cupertino, California",[],CALABAZAS CREEK,Santa Clara County,,10/01/1973-09/30/1974,Daily,"{'Temperature': 'Degrees Celsius (°C)', 'Instantaneous Discharge': 'Cubic Feet per Second (CFS)', 'Stream Width': 'Feet (FT)', 'Sediment Redload Discharge': 'Tons per Day (T/DAY)'}",Stream Discharge,"['CALABAZAS CREEK', 'STREAM DISCHARGE', 'BED SEDIMENT']",,,,,,
56845,435,36.2878,-119.7216,,,"Near Kingsburg, CA",[],Kings River at Peoples Weir,,Tulare County,10/01/1977-09/30/1978,Monthly,"{'MAGNEsiUM': 'MG/L as Mg', 'SODIUM': 'MG/L as Na', 'ALKAlinity': 'MG/L as CaCO3', 'SULFATE': 'MG/L as SO4', 'CHLORIDE': 'MG/L as Cl', 'SOLIDS_RESIDUE_180_DEG_C_DISsolved': 'MG/L', 'SOLIDS_disSolved': 'Tons per AC-FT', 'NITROGEN_NITRATE_disSolved': 'MG/L as N', 'NITROGEN_NITRITE_disSolved': 'MG/L as N', 'NITROGEN_AMMONIA_Total': 'MG/L as N', 'NITROGEN_ORGANIC_Total': 'MG/L as N', 'NITROGEN_AMMONIA_+_ORGANIC_Total': 'MG/L as N', 'PHOSFORUS_Total': 'MG/L as P', 'PHOSFORUS_ORTHO_disSolved': 'MG/L as P', 'BORON_disSolved': 'UG/L', 'CARBON_ORGANIC_Total': 'MG/L as C', 'METHYLENE_BLUE_ACTIVE_SUBSTANCE': 'MG/L'}",Stream Discharge,"['WATER QUALITY DATA', 'KINGS RIVER AT PEOPLES WEIR', 'MAGNEsiUM', 'SODIUM', 'ALKAlinity', 'SULFATE', 'CHLORIDE', 'NITROGEN NITRATE disSolved']",,,,,,
56414,167,35.1151,-120.5905,,,"Near Arroyo Grande, California",[],Arroyo Grande Above Phoenix Creek,Santa Barbara County,,10/01/1971-03/31/1972,Daily,"{'Discharge': 'CFS (cubic feet per second)', 'Concentration': 'MG/L (milligrams per liter)', 'Sediment_Discharge': 'TONS/DAY'}",Stream Discharge,"['MEAN DISCHARGE', 'CONCENTRATION', 'SEDIMENT DISCHARGE']",,,,,,
3174,178,,,37.8516667,-120.6369444,"Rancheria Del Rio Estanislao Grant, 250 ft upstream from Owl Creek, 0.9 mile downstream from Goodwin Dam near Knights Ferry",[],Stanislaus River Below Goodwin Dam,Calaveras County,,10/01/1969-09/30/1970,Daily,°C,Stream Discharge,"['water temperatures', 'Stanislaus River', 'Goodwin Dam']",,,,,,
1520,428,42.7421,-121.7375,,,"Klamath Falls, Oreg.",[],Link River,,"Klamath County, Oregon",09/14/1912-09/30/1913,Daily,"{'Gage_height': 'Feet', 'Discharge': 'Sec.-ft.'}",Stream Discharge,"['Link River', 'discharge measurements', 'gage height']",,,,,,
1606,328,,,38.8333,-120.0333,"NW1 sec. 6, T. 11 N., R. 18 E., half a mile downstream from intake and 2 miles northeast of Vade post office (formerly known as Phillips)","['T. 11 N., R. 18 E., NW1 sec. 6']",Echo Lake flume near Vade,Placer County,,08/01/1923-11/30/1938,Daily,Second-feet,Stream Discharge,"['Discharge', 'Flume', 'Echo Lake', 'American River Basin']",,,,,,
70038673,297,34.5888889,-120.4075,34.5888889,-120.4075,"Near Lompoc, California","['[W1 sec 24, T.6 N., R,34 W.]']",SALSIPUEDES CREEK,Santa Barbara County,Santa Barbara County,01/01/1941-09/24/1968,Daily,cubic feet per second (cfs),Stream Discharge,"['SALSIPUEDES CREEK', 'stream discharge', 'water-stage recorder', 'cubic feet per second']",,,,,,
70038414,183,,,37.237222,-119.773889,"SENW1 sec. 15, T.8 S., E.","['T.8 S., E., senw1 sec. 15']",Fresno River near Knowles,Madera County,,"09/1911-08/1913, 11/1915-current",Daily measurements from October to September,"{'Discharge': 'cubic feet per second (cfs)', 'Total_Annual_Discharge': 'acre-feet'}",Stream Discharge,"['Fresno River', 'stream discharge', 'gage height']",,,,,,
56394,244,37.398889,-120.002778,37.398889,-120.002778,"near Cathay, SW&NE's sec. 21, T.6 S. R.18 E., Mariposa County, on downstream of side of bridge on White Rock Road, 0.3 mi (0.5 km) downstream from China Gulch, and 5.7 mi (9.2 km) southeast town of Catheys Valley","['T.6 S. R.18 E., sec. 21']",Mariposa Creek near Catheys Valley,Mariposa County,Mariposa County,10/01/1975-09/30/1976,daily,"{'Discharge': 'cubic feet per second (ft3/s)', 'Water Year Total': 'acre-feet (AC-FT)'}",Stream Discharge,"['discharge', 'stream flow', 'water-stage recorder']",,,,,,
15,257,,,41.408333,-120.55,"Lat 41°24'30""N, long 120°33'00""W, NE sec. 11, T. 41 N., R. 12 E.","['T. 41 N., R. 12 E., sec. 11']",South Fork Pit River near Alturas,,Lassen County,Oct/1929-Dec/1931,Monthly,Cubic feet per second (cfs) and Acre-feet,Stream Discharge,"['discharge', 'cfs', 'irrigation', 'reservoir']",,,,,,
15,257,,,41.433333,-120.4402778,"Lat 41°26'00""N, long 120°26'25""W, SW1 sec. 35, T. 42 N., R. 13 E.","['T. 42 N., R. 13 E., sec. 35']",Pine Creek near Alturas,,Lassen County,Oct/1919-Sep/1931,Monthly,Cubic feet per second (cfs),Stream Discharge,"['discharge', 'cfs', 'powerplant']",,,,,,
2848,67,,,34.5532,-120.0216,"near Gibraltar Dam, Santa Barbara",[],Santa Ynez River,Santa Barbara County,,1904-09/1944-08,Monthly measurements over several years,acre-feet,Stream Discharge,"['runoff', 'gaging stations', 'Santa Ynez River']",,,,,,
2257,38,,,34.05,-114.473,"About 1 mi southeast of Rice Air Base, and 4 mi southeast of Rice",['21E-32B'],Rice Valley,SAN BERNARDINO,,10/31/1962-03/18/1964,Variable intervals,feet below land surface datum (lsd),Groundwater,"['water-table well', 'alluvium']",,,,,,
2257,38,,,33.4655,-117.1322,"Fourth and F Sts., Perris",['3W-32E'],San Jacinto Valley - Local number 4S/3W-32E1 S,SAN BERNARDINO,,03/21/1961-08/05/1964,Variable intervals,feet below land surface datum (lsd),Groundwater,"['water-table well', 'alluvium']",,,,,,
2257,38,,,33.4228,-117.045,Winchester,['2W-27E'],San Jacinto Valley - Local number 58/2W-27E2 S,SAN BERNARDINO,,01/02/1961-03/18/1965,Variable intervals,feet below land surface datum (lsd),Groundwater,"['domestic water-table well', 'alluvium']",,,,,,
2257,38,,,33.405,-117.1014,Menifee Valley,['3W-3H'],San Jacinto Valley - Local number 6S/3W-3H2 S,SAN BERNARDINO,,01/03/1961-04/16/1965,Variable intervals,feet below land surface datum (lsd),Groundwater,"['irrigation water-table well', 'alluvium']",,,,,,
2257,38,,,34.042,-117.2346,Bloomington,['5W-22E'],Chino Basin - Local number 1S/5W-22E1 S,SAN BERNARDINO,,10/07/1927-09/01/1965,Variable intervals,feet below land surface datum (lsd),Groundwater,"['water-table well', 'alluvium']",,,,,,
51002,47,,,34.505556,-119.811111,Highway 150 near San Marcos Pass,[],"C. R. Holmes, Jr., Spring",,San Diego County,07/30/1948-04/19/1951,Several measurements over a period of about two years,"{'Discharge': ['Second-feet', 'Gals. per min.'], 'Temperature': ['°F']}",Springs,"['Seeps', 'Discharge', 'Concrete box']",,,,,,
1141,109,,,37.7517,-120.6514,"Knights Ferry, California",[],Stanislaus River,Tuolumne County,,01/01/1910-12/31/1910,Daily,"{'Gage_Height': 'feet', 'Discharge': 'second-feet'}",Stream Discharge,"['Gage Height', 'Discharge']",,,,,,
70038396,464,,,38.641111,-121.377222,"Del Paso Grant, on right bank, 1,200 ft upstream from bridge on Interstate Highway 80 and 1.6 miles east of city limits of Del Paso Heights",,Arcade Creek near Del Paso Heights,Sacramento County,,07/01/1963-09/30/1965,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Gage Height': 'feet'}",Stream Discharge,"['discharge', 'cfs', 'gage height', 'stream']",,,,,,
27848,27,36.5333,-121.8333,,,"Near Bradley, Salinas River",,Salinas River near Bradley,,Monterey County,11/01/1971-03/31/1975,November 1971 through March 1975,micrograms per liter,Stream Discharge,"['Total copper', 'Dissolved copper', 'Total lead', 'Dissolved lead', 'Total mercury', 'Dissolved mercury', 'Total zinc', 'Dissolved zinc']",,,,,,
27848,27,36.4344,-121.1798,,,"At Soledad, Salinas River",,Salinas River at Soledad,,Monterey County,11/01/1971-03/31/1975,November 1971 through March 1975,micrograms per liter,Stream Discharge,"['Total arsenic', 'Dissolved arsenic', 'Total cadmium', 'Dissolved cadmium', 'Total chromium', 'Chromium, hexavalent', 'Total cobalt', 'Dissolved cobalt', 'Total copper', 'Dissolved copper', 'Total lead', 'Dissolved lead', 'Total mercury', 'Dissolved mercury', 'Total zinc', 'Dissolved zinc']",,,,,,
27848,27,36.6358,-121.6033,,,"Near Spreckels, Salinas River",,Salinas River near Spreckels,,Monterey County,11/01/1971-03/31/1975,November 1971 through March 1975,micrograms per liter,Stream Discharge,"['Total arsenic', 'Dissolved arsenic', 'Total cadmium', 'Dissolved cadmium', 'Total chromium', 'Chromium, hexavalent', 'Total cobalt', 'Dissolved cobalt', 'Total copper', 'Dissolved copper', 'Total lead', 'Dissolved lead', 'Total mercury', 'Dissolved mercury', 'Total zinc', 'Dissolved zinc']",,,,,,
658,170,,,34.6138889,-120.2416667,"On left bank 0.5 mile downstream from Canada de los Palos Blancos and 3 miles west of Buellton, Santa Barbara County",[],Santa Ynez River near Buellton,Santa Barbara County,,10/01/1952-09/30/1953,Daily,cubic feet per second (cfs),Stream Discharge,"['Santa Ynez River', 'stream discharge', 'cfs', 'water-stage recorder']",,,,,,
5780,32,34.0739,-118.4465,34.0739,-118.4465,"Santa Monica Mountains, Southern California",[],Rainstorms,,Los Angeles County,,,,Precipitation,"['Rainstorms', 'debris flows', 'mudflows']",,,,,,
1641,676,37.9458,-120.5296,37.9458,-120.5296,"Near Long Barn, Calif.",[],"Stanislaus River, South Fork",Calaveras County,Calaveras County,,,,Stream Discharge,"['Stanislaus River', 'South Fork']",,,,,,
1641,676,36.2072,-118.7385,36.2072,-118.7385,"Near Success, Calif.",[],"Success Lake near Success, Calif.",Tulare County,Tulare County,,,,Reservoir,['Success Lake'],,,,,,
1641,676,36.7345,-119.4021,36.7345,-119.4021,"Near Trimmer, Calif.",[],"Sycamore Creek above Pine Flat Reservoir, near Trimmer, Calif.",Fresno County,Fresno County,,,,Stream Discharge,"['Sycamore Creek', 'Pine Flat Reservoir']",,,,,,
1641,676,35.1193,-118.4508,35.1193,-118.4508,"Near Tehachapi, Calif.",[],"Tehachapi Creek near Tehachapi, Calif.",Kern County,Kern County,,,,Stream Discharge,['Tehachapi Creek'],,,,,,
1641,676,36.2681,-119.7433,36.2681,-119.7433,"In Kings County, Calif.",[],"Tulare Lake in Kings County, Calif.",Kings County,Kings County,,,,Lake,['Tulare Lake'],,,,,,
1641,676,38.0661,-120.5097,38.0661,-120.5097,"Near La Grange, Calif.",[],"Tuolumne River, above La Grange Dam, near La Grange, Calif.",Calaveras County,Calaveras County,,,,Stream Discharge,"['Tuolumne River', 'La Grange Dam']",,,,,,
56418,312,,,37.724167,-119.630556,"upstream side of El Capitan Bridge at El Capitan Meadow, 3.0 mi southwest of Yosemite Village",[],Merced River at El Capitan Bridge,Mariposa County,,10/03/1973-09/01/1974,hourly,"{'Discharge': 'CFS', 'Dissolved Silica': '$102 MG/L', 'Total Iron': 'UG/L', 'Dissolved Iron': 'UG/L', 'Dissolved Calcium': 'MG/L', 'Dissolved Magnesium': 'MG/L', 'Dissolved Sodium': 'MG/L', 'Dissolved Potassium': 'MG/L', 'Bicarbonate': 'MG/L', 'Carbonate': 'MG/L', 'Alkalinity As CaCO3': 'MG/L', 'Dissolved Sulfate': 'MG/L', 'Dissolved Chloride': 'MG/L', 'Total Nitrate': 'MG/L', 'Total Nitrite Plus Nitrate': 'MG/L', 'Dissolved Nitrite Plus Nitrate': 'MG/L', 'Ammonia Nitrogen': 'MG/L', 'Dissolved Ammonia Nitrogen': 'MG/L', 'Total Organic Nitrogen': 'MG/L'}",Stream Discharge,"['Discharge', 'Dissolved Silica', 'Total Iron', 'Dissolved Iron', 'Bicarbonate']",,,,,,
70038400,24,32.8,-115.5,,,Southern California,[],Colorado River basin,,"Imperial County, California",01/01/1941-12/31/1965,Annual,,Stream Discharge,"['Colorado River basin', 'water years']",,,,,,
70038400,24,36.7783,-119.4179,,,Coastal California,[],Pacific slope basins in California,,Various counties along the Pacific coast of California,01/01/1941-12/31/1965,Annual,,Surface Waters,"['Pacific slope basins', 'California']",,,,,,
604,65,,,33.947222,-117.558333,"near Corona, Calif.",[],Santa Ana River,Riverside County,,01/01/1947-12/31/1947,Daily,second-feet,Stream Discharge,"['Santa Ana River', 'stream discharge', 'water-stage recorder', 'discharge measurements']",,,,,,
1610,147,,,34.7625,-120.4278,"highway bridge a quarter of a mile south of Harris, Santa Barbara County",[],San Antonio Creek,Santa Barbara County,,01/01/1942-09/30/1943,daily,second-feet,Stream Discharge,"['water-stage records', 'Drainage area', 'Maximum discharge']",,,,,,
2248,215,39.7333,-123.5,,,"SE. 1/4 sec. 13, T. 13 N., R. 13 E., about one-fourth mile above the mouth of the river and 13 miles northeast of Quintette","['T. 13 N., R. 13 E., SE. 1/4 sec. 13']",Little South Fork of Rubicon River,,Mendocino County,11/29/1909-06/30/1911,Daily,second-feet,Stream Discharge,"['Daily discharge', 'gauge', 'discharge measurements']",,,,,,
56394,320,36.755,-119.625,,,"Near Vernalis, California",[],SAN JOAQUIN RIVER NEAR VERNALIS,,Fresno County,04/01/1976-05/04/1976,Monthly (April and May 1976),(CELLS/ML),Stream Discharge,"['PHOTOPLANKTON', 'BIODATA', 'WATER YEAR', 'OCTOBER 1975 TO SEPTEMBER 1976']",,,,,,
15,333,39.566667,-121.15,,,"Near La Porte, Calif.","['T. 20 N., R. 7 E., SW1 sec. 24']",South Fork Feather River near La Porte,Plumas County,,1928-01/01 to 1933-12/31,Monthly,cubic feet per second (cfs),Stream Discharge,"['Mean discharge', 'Runoff']",,,,,,
15,333,,,39.566667,-121.15,"Near Clipper Mills, Calif.","['T. 20 N., R. 7 E., SW1 sec. 24']",Oroville-Wyandotte Canal near Clipper Mills,Butte County,,1928-01/01 to 1941-12/31,Monthly,acre-feet,Irrigation,"['Canal', 'Diversions']",,,,,,
3012,3,,,,,,[],,,,,,,Not Water Related,[],,,,,,
2249,177,,,37.559,-120.536,"Near Merced Falls, California","['T. 7 S., R. 9 E., sec. 2']",Merced River near Merced Falls,Merced County,Merced County,10/01/1911-09/30/1912,Daily,Second-feet,Stream Discharge,"['Discharge', 'Merced River', 'Surface Water Supply', 'Rating Curves']",,,,,,
56404,462,,,38.593333,-122.613056,"Lat 38°35'36"" long 122°36'47"", in Carne Humana Grant, Napa County, on left bank at upstream side of private road bridge, 1.1 mi (1.8 km) upstream from mouth, and 2.2 mi (3.5 km) northwest of Calistoga.",[],"Blossom Creek near Calistoga, CA",Napa County,,1976-1976,Annual,"{'Drainage_Area': 'mi2', 'Gage_Height': 'feet', 'Discharge': 'ft3/s'}",Stream Discharge,"['annual maximum discharges', 'crest-stage stations']",,,,,,
56404,462,,,38.593333,-122.590667,"Lat 38°35'36"" long 122°35'26"", in Carne Humana Grant, Napa County, on right bank at upstream side of bridge on Greenwood Avenue, 0.6 mi (1.0 km) upstream from mouth, and 1.2 mi (1.9 km) northwest of Calistoga.",[],"Garnett Creek near Calistoga, CA",Napa County,,1976-1976,Annual,"{'Drainage_Area': 'mi2', 'Gage_Height': 'feet', 'Discharge': 'ft3/s'}",Stream Discharge,"['annual maximum discharges', 'crest-stage stations']",,,,,,
56404,462,,,38.580833,-122.594444,"Lat 38°34'51"" long 122°35'38"", in Carne Humana Grant, Napa County, on right bank at downstream side of bridge on State Highway 128, 0 mi (0.8 km) upstream from mouth, and 0.8 mi (1.3 km) west of Calistoga.",[],"Cyrus Creek at Calistoga, CA",Napa County,,1976-1976,Annual,"{'Drainage_Area': 'mi2', 'Gage_Height': 'feet', 'Discharge': 'ft3/s'}",Stream Discharge,"['annual maximum discharges', 'crest-stage stations']",,,,,,
56404,462,,,38.325278,-122.273333,"Lat 38°19'31"" long 122°16'24"", in Yajome Grant, Napa County, on right bank at upstream side of West Trancas Road bridge, at Napa, and 0.7 mi (1.1 km) upstream from mouth.",[],"Milliken Creek at Napa, CA",Napa County,,1971-1976,Annual,"{'Drainage_Area': 'mi2', 'Gage_Height': 'feet', 'Discharge': 'ft3/s'}",Stream Discharge,"['annual maximum discharges', 'crest-stage stations']",,,,,,
56404,462,,,38.332222,-122.251667,"Lat 38°19'56"", long 122°15'06"" in Tulucay Grant, Napa County, on left bank at culvert on Vichy Avenue, 3 mi (5 km) northwest of Napa.",[],"Sarco Creek near Napa, CA",Napa County,,1971-1976,Annual,"{'Drainage_Area': 'mi2', 'Gage_Height': 'feet', 'Discharge': 'ft3/s'}",Stream Discharge,"['annual maximum discharges', 'crest-stage stations']",,,,,,
56404,462,,,37.984444,-122.549444,"Lat 37°59'04"", long 122°32'58"", in San Pedro Santa Margarita Las Gallinas Grant, Marin County, on left bank on upstream wingwall of culvert on Sirard Lane in San Rafael.",[],"San Rafael Creek at Sirard Lane, San Rafael, CA",Marin County,,1972-1976,Annual,"{'Drainage_Area': 'mi2', 'Gage_Height': 'feet', 'Discharge': 'ft3/s'}",Stream Discharge,"['annual maximum discharges', 'crest-stage stations']",,,,,,
56404,462,,,37.991111,-122.508056,"Lat 37°59'28"", long 122°30'29"" in San Pedro Santa Margarita Las Gallinas Grant, Marin County, on right bank at end of Cascade Lane in Black Canyon in San Rafael.",[],"Irwin Creek tributary at San Rafael, CA",Marin County,,1972-1976,Annual,"{'Drainage_Area': 'mi2', 'Gage_Height': 'feet', 'Discharge': 'ft3/s'}",Stream Discharge,"['annual maximum discharges', 'crest-stage stations']",,,,,,
56404,462,,,37.982222,-122.507333,"Lat 37°58'56"", long 122°30'24"" in San Pedro Santa Margarita Las Gallinas Grant, Marin County, on right bank at upstream side of culvert on Deer Park Road at San Rafael.",[],"Irwin Creek tributary No. 2 at San Rafael, CA",Marin County,,1972-1976,Annual,"{'Drainage_Area': 'mi2', 'Gage_Height': 'feet', 'Discharge': 'ft3/s'}",Stream Discharge,"['annual maximum discharges', 'crest-stage stations']",,,,,,
56404,462,,,39.319444,-123.221111,"Lat 39°19'10"" long 123°13'20"", in NW's sec. 20, T.17 N., R.12 W., Mendocino County, on left bank 600 ft (183 m) upstream from Rocky Creek and 3.8 mi (6.1 km) north of town of Redwood Valley.","[""NW's sec. 20, T.17 N., R.12 W.""]","Russian River near Redwood Valley, CA",Mendocino County,,"1964-1968, 1969-1976",Annual,"{'Drainage_Area': 'mi2', 'Gage_Height': 'feet', 'Discharge': 'ft3/s'}",Stream Discharge,"['annual maximum discharges', 'crest-stage stations']",,,,,,
56404,462,,,38.608333,-122.759722,"Lat 38°36'30"" long 122°45'35"", in Mallacomes Grant, Sonoma County, on left bank at downstream side of highway bridge, 100 ft (30 m) downstream from Bidwell Creek, and 2 mi (3 km) south of Kellogg.",[],"Franz Creek near Kellogg, CA",Sonoma County,,"1956, 1958-1962, 1963-1968, 1969-1976",Annual,"{'Drainage_Area': 'mi2', 'Gage_Height': 'feet', 'Discharge': 'ft3/s'}",Stream Discharge,"['annual maximum discharges', 'crest-stage stations']",,,,,,
648,511,,,40.309722,-124.256944,"on right bank 0.4 mile upstream from highway bridge, 1.8 miles southeast of Petrolia, and 2.1 miles upstream from North Fork","['T. 2 S. R. 2 W., NE sec. 11']",Mattole River near Petrolia,Humboldt County,,10/01/1950-09/30/1951,daily,cubic feet per second,Stream Discharge,"['water-stage recorder', 'discharge']",,,,,,
3150,134,37.5,-120.8,,,California (Specific location inferred),[],California Stream,"Inferred from context: San Joaquin County, CA","San Joaquin County, CA",10/1966-09/1967,Daily to Monthly,"{'Temperature': '°F', 'Discharge': 'cfs and tons per day'}",Stream Discharge,"['instantaneous discharges', 'mean discharge', 'chemical analyses']",,,,,,
194,170,32.6417,-114.6275,,,"Near Cameron, Arizona",[],Little Colorado River,,"Yuma County, Arizona",04/01/1964-09/30/1964,Daily,"{'Discharge': 'cfs (cubic feet per second)', 'Suspended_Sediment_Concentration': 'ppm (parts per million)', 'Tons_Per_Day': 'tons'}",Stream Discharge,"['Suspended sediment', 'Mean discharge (cfs)', 'Mean concentration (ppm)', 'Tons per day']",,,,,,
70038406,242,34.6416,-120.4695,,,3 miles north of Lompoc,['7N/34W-15F1'],S. VANDENBERG UTILITY COMPANY Well,Santa Barbara County,,10/25/1966-10/09/1968,Variable (records provided for specific dates),Feet Below Land Surface Datum (LSD),Groundwater,"['ARTESIAN WELL', 'GROUND-WATER RECORDS']",,,,,,
70038406,242,34.6416,-120.4695,,,Lompoc Plain,['7N/34W-19J3'],S. FEDERAL CORRECTIONAL INSTITUTE Supply Well 10,Santa Barbara County,,04/26/1966-11/13/1968,Variable (records provided for specific dates),Feet Below Land Surface Datum (LSD),Groundwater,"['SUPPLY WELL', 'GROUND-WATER RECORDS']",,,,,,
70038406,242,34.6598,-120.1872,,,Santa Ynez Valley,['7N/34W-20K4'],S. FEDERAL CORRECTIONAL INSTITUTE Well 3,Santa Barbara County,,04/20/1966-11/13/1968,Variable (records provided for specific dates),Feet Below Land Surface Datum (LSD),Groundwater,"['UNUSED WELL', 'GROUND-WATER RECORDS']",,,,,,
70038406,242,34.6416,-120.4695,,,Lompoc Plain,['7N/34W-20M2'],S. FEDERAL CORRECTIONAL INSTITUTE Supply Well 4,Santa Barbara County,,04/04/1966-11/13/1968,Variable (records provided for specific dates),Feet Below Land Surface Datum (LSD),Groundwater,"['SUPPLY WELL', 'GROUND-WATER RECORDS']",,,,,,
